Sat Sep  7 00:00:01 2017
8632.19	1.20	12.03
4       13.04	6.67	13.09	12.99	0.01	1.19	1.21	12.03
9	13.04	6.67	13.09	12.99	0.00	1.18	1.20	12.03
14	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.03
19	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
24	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.03
29	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.04
34	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
39	13.04	6.67	13.09	12.99	0.01	1.19	1.21	12.04
44	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.05
49	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
54	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
59	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
64	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
69	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.04
74	13.04	6.67	13.09	13.00	0.00	1.17	1.20	12.06
79	13.04	6.67	13.09	13.00	-0.00	1.18	1.20	12.05
84	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
89	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.05
94	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
99	13.04	6.67	13.09	12.99	0.00	1.22	1.24	12.06
104	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
109	13.04	6.67	13.09	12.99	0.01	1.22	1.25	12.05
114	13.04	6.67	13.09	13.00	0.01	1.13	1.15	12.06
119	13.04	6.67	13.09	12.99	0.00	1.29	1.30	12.05
124	13.04	6.67	13.09	12.99	0.00	1.20	1.23	12.06
129	13.04	6.67	13.09	12.99	0.00	1.27	1.28	12.05
134	13.04	6.67	13.09	12.99	0.00	1.22	1.23	12.05
139	13.04	6.67	13.09	13.00	-0.00	1.15	1.20	12.04
144	13.04	6.67	13.09	12.99	0.00	1.16	1.22	12.05
149	13.04	6.67	13.09	12.99	0.00	1.21	1.26	12.04
154	13.04	6.67	13.09	12.98	0.00	1.31	1.34	12.04
159	13.04	6.67	13.09	13.00	0.00	1.20	1.20	12.06
164	13.04	6.67	13.09	12.99	0.01	1.21	1.26	12.05
169	13.04	6.67	13.09	12.99	0.00	1.25	1.27	12.05
174	13.04	6.67	13.09	13.00	0.00	1.15	1.20	12.06
179	13.04	6.67	13.09	13.01	0.00	1.10	1.10	12.06
184	13.04	6.67	13.09	13.00	0.01	1.17	1.22	12.05
189	13.04	6.67	13.09	13.00	0.00	1.07	1.11	12.04
194	13.04	6.67	13.09	12.99	0.00	1.23	1.27	12.06
199	13.04	6.67	13.09	13.00	0.00	1.12	1.16	12.05
204	13.04	6.67	13.09	12.99	0.01	1.25	1.28	12.05
209	13.04	6.67	13.09	13.00	0.01	1.10	1.12	12.06
214	13.04	6.67	13.09	13.00	0.00	1.10	1.11	12.04
219	13.04	6.67	13.09	13.00	0.00	1.12	1.12	12.05
224	13.04	6.67	13.09	13.01	0.01	1.06	1.07	12.06
229	13.04	6.67	13.09	13.00	0.00	1.09	1.11	12.04
234	13.04	6.67	13.09	13.00	0.01	1.12	1.18	12.05
239	13.04	6.67	13.09	13.00	0.00	1.12	1.16	12.05
244	13.04	6.67	13.09	12.99	0.00	1.27	1.26	12.06
249	13.04	6.67	13.09	12.99	-0.00	1.27	1.30	12.05
254	13.03	6.67	13.09	12.98	0.01	1.28	1.33	12.04
259	13.04	6.67	13.09	12.99	0.01	1.17	1.22	12.06
264	13.04	6.67	13.09	13.00	0.00	1.14	1.17	12.05
269	13.04	6.67	13.09	12.99	0.00	1.27	1.25	12.04
274	13.04	6.67	13.09	13.00	0.00	1.09	1.14	12.06
279	13.04	6.67	13.09	13.00	0.01	1.09	1.11	12.06
284	13.04	6.67	13.09	12.99	0.00	1.16	1.23	12.06
289	13.04	6.67	13.09	12.99	0.01	1.32	1.33	12.06
294	13.04	6.67	13.09	12.99	0.00	1.19	1.25	12.06
299	13.04	6.67	13.09	13.01	0.00	1.07	1.09	12.05
304	13.04	6.67	13.09	12.99	0.01	1.28	1.31	12.05
309	13.04	6.67	13.09	13.01	0.00	1.07	1.08	12.06
314	13.04	6.67	13.09	12.99	0.00	1.29	1.28	12.05
319	13.04	6.67	13.09	13.00	0.00	1.18	1.17	12.06
324	13.04	6.67	13.09	13.00	0.01	1.06	1.12	12.05
329	13.04	6.67	13.09	12.99	0.01	1.24	1.24	12.05
334	13.04	6.67	13.09	13.00	0.00	1.13	1.12	12.06
339	13.04	6.67	13.09	12.98	0.01	1.30	1.34	12.06
344	13.04	6.67	13.09	13.00	0.00	1.14	1.16	12.06
349	13.04	6.67	13.09	12.99	0.00	1.25	1.24	12.05
354	13.04	6.67	13.09	12.99	0.00	1.23	1.28	12.06
359	13.04	6.67	13.09	12.99	0.00	1.26	1.30	12.06
364	13.04	6.67	13.09	13.01	0.00	1.06	1.07	12.05
369	13.04	6.67	13.09	12.99	0.01	1.24	1.29	12.06
374	13.04	6.67	13.09	13.00	0.00	1.06	1.10	12.05
379	13.04	6.67	13.09	12.99	0.00	1.24	1.28	12.05
384	13.04	6.67	13.09	13.00	0.00	1.10	1.13	12.04
389	13.04	6.67	13.09	13.00	0.01	1.08	1.11	12.06
394	13.04	6.67	13.09	12.99	0.00	1.23	1.24	12.05
399	13.04	6.67	13.09	12.99	0.01	1.26	1.24	12.05
404	13.04	6.67	13.09	12.99	0.00	1.26	1.31	12.04
409	13.04	6.67	13.09	13.00	0.01	1.10	1.13	12.05
414	13.04	6.67	13.09	13.00	0.01	1.13	1.12	12.06
419	13.04	6.67	13.09	13.00	0.00	1.11	1.12	12.05
424	13.04	6.67	13.09	13.01	0.00	1.04	1.08	12.04
429	13.04	6.67	13.09	13.00	0.00	1.10	1.14	12.04
434	13.04	6.67	13.09	13.00	0.00	1.12	1.13	12.05
439	13.03	6.67	13.09	12.99	0.00	1.27	1.31	12.05
444	13.04	6.67	13.09	12.98	0.00	1.35	1.37	12.05
449	13.04	6.67	13.09	13.00	0.01	1.16	1.19	12.05
454	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
459	13.04	6.67	13.09	12.99	0.00	1.19	1.22	12.05
464	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
469	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
474	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
479	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.05
484	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
489	13.04	6.67	13.09	13.00	0.01	1.18	1.21	12.04
494	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
499	13.04	6.67	13.09	13.00	0.00	1.19	1.20	12.04
504	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
509	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
514	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
519	13.04	6.67	13.09	12.99	0.00	1.19	1.21	12.02
524	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.04
529	13.04	6.67	13.09	13.00	0.01	1.18	1.21	12.04
534	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
539	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
544	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
549	13.04	6.67	13.09	13.00	0.01	1.19	1.20	12.04
554	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.04
559	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
564	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.02
569	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.01
574	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.02
579	13.04	6.67	13.09	12.99	0.01	1.19	1.21	12.03
584	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.03
589	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
594	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.02
599	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.02
604	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.01
609	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.01
614	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
619	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
624	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
629	13.04	6.67	13.09	13.00	-0.00	1.18	1.21	12.02
634	13.04	6.67	13.09	13.00	0.01	1.18	1.21	12.02
639	13.04	6.67	13.09	12.99	0.00	1.19	1.21	12.01
644	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.01
649	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.02
654	13.04	6.67	13.09	13.00	0.01	1.18	1.20	11.99
659	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.02
664	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.01
669	13.04	6.67	13.09	13.00	0.01	1.19	1.20	11.99
674	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.01
679	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.01
684	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.01
689	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.01
694	13.04	6.67	13.09	13.00	0.00	1.18	1.20	12.00
699	13.04	6.67	13.09	12.99	0.00	1.19	1.21	11.99
704	13.04	6.67	13.09	13.00	0.01	1.18	1.20	12.00
709	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.01
714	13.04	6.67	13.09	13.00	0.01	1.18	1.20	11.99
719	13.04	6.67	13.09	13.00	0.00	1.18	1.20	11.99
724	13.04	6.67	13.09	13.00	0.00	1.18	1.20	11.99
729	13.04	6.67	13.09	12.99	0.00	1.18	1.21	11.99
734	13.04	6.67	13.09	13.00	0.01	1.18	1.20	11.99
739	13.04	6.67	13.09	13.00	0.01	1.18	1.21	11.99
744	13.04	6.67	13.09	13.00	0.01	1.18	1.20	11.99
749	13.04	6.67	13.09	13.00	0.00	1.18	1.20	11.98
754	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.99
759	13.04	6.67	13.09	12.99	0.00	1.19	1.21	11.98
764	13.04	6.67	13.09	13.00	0.00	1.18	1.20	11.98
769	13.04	6.67	13.09	13.00	0.00	1.18	1.21	12.00
774	13.04	6.67	13.09	13.00	0.01	1.14	1.17	11.99
779	13.04	6.67	13.09	12.99	0.00	1.20	1.22	11.98
784	13.04	6.67	13.09	13.00	0.01	1.20	1.20	11.99
789	13.04	6.67	13.09	13.00	0.00	1.08	1.11	11.98
794	13.04	6.67	13.09	13.00	0.00	1.08	1.12	11.99
799	13.04	6.67	13.09	12.99	0.00	1.18	1.23	12.00
804	13.04	6.67	13.09	12.99	0.00	1.21	1.25	11.99
809	13.04	6.67	13.09	13.00	0.01	1.13	1.13	11.98
814	13.04	6.67	13.09	13.00	0.01	1.18	1.18	11.97
819	13.04	6.67	13.09	13.01	0.01	1.04	1.07	11.98
824	13.04	6.67	13.09	13.00	0.00	1.06	1.09	11.97
829	13.04	6.67	13.09	13.00	0.00	1.17	1.18	11.99
834	13.04	6.67	13.09	12.99	0.01	1.16	1.22	11.97
839	13.04	6.67	13.09	12.98	0.01	1.32	1.35	11.97
844	13.04	6.67	13.09	13.00	0.01	1.12	1.18	11.98
849	13.04	6.67	13.09	13.00	0.01	1.17	1.16	11.97
854	13.04	6.67	13.09	13.00	0.00	1.18	1.19	11.98
859	13.04	6.67	13.09	13.00	0.01	1.09	1.14	11.98
864	13.04	6.67	13.09	12.99	0.01	1.24	1.22	11.97
869	13.04	6.67	13.09	13.00	0.01	1.20	1.20	11.95
874	13.03	6.67	13.09	12.98	0.00	1.31	1.35	11.96
879	13.04	6.67	13.09	12.99	0.00	1.19	1.23	11.95
884	13.03	6.67	13.09	12.98	0.00	1.32	1.35	11.97
889	13.04	6.67	13.09	12.99	0.01	1.24	1.29	11.96
894	13.04	6.67	13.09	13.00	0.00	1.15	1.20	11.97
899	13.04	6.67	13.09	12.99	0.00	1.25	1.27	11.97
904	13.04	6.67	13.09	13.01	0.00	1.05	1.07	11.95
909	13.04	6.67	13.09	13.00	0.00	1.11	1.13	11.97
914	13.04	6.67	13.09	13.00	0.01	1.09	1.13	11.95
919	13.04	6.67	13.09	13.00	0.00	1.14	1.17	11.95
924	13.04	6.67	13.09	12.99	0.01	1.27	1.28	11.95
929	13.04	6.67	13.09	12.99	0.01	1.24	1.25	11.95
934	13.04	6.67	13.09	13.00	0.01	1.09	1.13	11.97
939	13.04	6.67	13.09	13.00	0.01	1.15	1.15	11.97
944	13.04	6.67	13.09	13.00	0.00	1.17	1.21	11.95
949	13.04	6.67	13.09	13.00	0.00	1.16	1.15	11.95
954	13.04	6.67	13.09	13.01	0.00	1.07	1.10	11.95
959	13.04	6.67	13.09	12.99	0.01	1.23	1.24	11.95
964	13.04	6.67	13.09	12.99	0.01	1.24	1.27	11.94
969	13.04	6.67	13.09	13.00	0.01	1.09	1.14	11.93
974	13.04	6.67	13.09	13.00	0.00	1.14	1.15	11.93
979	13.04	6.67	13.09	13.00	0.00	1.17	1.21	11.94
984	13.04	6.67	13.09	12.99	0.01	1.24	1.24	11.93
989	13.04	6.67	13.09	12.99	0.01	1.22	1.27	11.94
994	13.04	6.67	13.09	13.00	0.00	1.13	1.18	11.93
999	13.04	6.67	13.09	13.00	0.01	1.15	1.17	11.95
1004	13.04	6.67	13.09	13.00	0.01	1.09	1.12	11.93
1009	13.04	6.67	13.09	13.00	0.01	1.18	1.19	11.93
1014	13.04	6.67	13.09	13.00	0.01	1.21	1.21	11.93
1019	13.04	6.67	13.09	12.99	0.00	1.18	1.24	11.92
1024	13.04	6.67	13.09	13.00	0.01	1.11	1.15	11.94
1029	13.04	6.67	13.09	12.99	0.01	1.27	1.29	11.92
1034	13.04	6.67	13.09	12.99	0.01	1.20	1.26	11.93
1039	13.04	6.67	13.09	13.00	0.01	1.10	1.11	11.91
1044	13.04	6.67	13.09	13.00	0.00	1.16	1.16	11.90
1049	13.04	6.67	13.09	13.00	0.01	1.08	1.11	11.91
1054	13.04	6.67	13.09	12.98	0.01	1.28	1.32	11.90
1059	13.04	6.67	13.09	13.01	0.00	1.04	1.08	11.91
1064	13.04	6.67	13.09	13.00	0.01	1.16	1.19	11.91
1069	13.04	6.67	13.09	12.99	0.00	1.26	1.29	11.91
1074	13.04	6.67	13.09	12.98	0.00	1.33	1.35	11.92
1079	13.04	6.67	13.09	12.99	0.01	1.22	1.23	11.90
1084	13.04	6.67	13.09	12.99	0.00	1.28	1.26	11.89
1089	13.04	6.67	13.09	12.99	0.00	1.26	1.29	11.90
1094	13.04	6.67	13.09	13.00	0.01	1.12	1.11	11.89
1099	13.04	6.67	13.09	12.99	0.01	1.26	1.26	11.88
1104	13.04	6.67	13.09	13.00	0.00	1.13	1.18	11.89
1109	13.04	6.67	13.09	13.00	0.01	1.08	1.11	11.88
1114	13.04	6.67	13.09	13.00	0.00	1.07	1.11	11.89
1119	13.03	6.67	13.09	12.99	0.01	1.25	1.28	11.90
1124	13.04	6.67	13.09	13.00	0.01	1.18	1.18	11.88
1129	13.04	6.67	13.09	13.00	0.01	1.13	1.18	11.86
1134	13.04	6.67	13.09	13.00	0.01	1.16	1.18	11.87
1139	13.04	6.67	13.09	13.00	0.00	1.16	1.17	11.87
1144	13.04	6.67	13.09	13.00	0.00	1.19	1.21	11.87
1149	13.04	6.67	13.09	13.00	0.00	1.10	1.10	11.86
1154	13.04	6.67	13.09	13.00	0.01	1.12	1.15	11.86
1159	13.04	6.67	13.09	13.01	0.00	1.04	1.07	11.88
1164	13.04	6.67	13.09	12.99	0.01	1.18	1.22	11.87
1169	13.04	6.67	13.09	13.00	0.00	1.18	1.17	11.85
1174	13.04	6.67	13.09	12.99	0.00	1.20	1.21	11.86
1179	13.04	6.67	13.09	13.00	0.00	1.12	1.13	11.87
1184	13.04	6.67	13.09	12.99	0.01	1.21	1.24	11.87
1189	13.04	6.67	13.09	13.00	0.01	1.11	1.12	11.84
1194	13.04	6.67	13.09	13.00	0.00	1.19	1.20	11.84
1199	13.04	6.67	13.09	13.00	0.01	1.16	1.20	11.84
1204	13.04	6.67	13.09	12.99	0.01	1.29	1.30	11.84
1209	13.04	6.67	13.09	13.00	0.01	1.15	1.19	11.84
1214	13.03	6.67	13.09	12.99	0.00	1.27	1.31	11.84
1219	13.04	6.67	13.09	12.99	0.00	1.21	1.23	11.84
1224	13.04	6.67	13.09	13.00	0.00	1.13	1.15	11.84
1229	13.04	6.67	13.09	13.00	0.01	1.17	1.18	11.83
1234	13.04	6.67	13.09	12.99	0.01	1.19	1.23	11.83
1239	13.04	6.67	13.09	13.00	0.00	1.13	1.15	11.83
1244	13.04	6.67	13.09	13.00	0.00	1.11	1.14	11.83
1249	13.04	6.67	13.09	12.99	0.00	1.20	1.23	11.82
1254	13.04	6.67	13.09	12.99	0.01	1.22	1.26	11.82
1259	13.04	6.67	13.09	12.99	0.01	1.23	1.24	11.82
1264	13.04	6.67	13.09	12.99	0.01	1.21	1.23	11.80
